Data,Value
9690,green
9283,green
9323,green
9055,green
9083,green
8943,green
9056,green
9014,green
9048,green
9024,green
9061,green
9174,green
8967,green
8979,green
8897,green
8776,green
8646,green
8490,green

